x	y	network	task
75	55	PPI	Subsampled holdout
3	3	PPI	Subsampled holdout
90	64	PPI	Subsampled holdout
218	156	PPI	Subsampled holdout
352	258	PPI	Subsampled holdout
64	45	PPI	Subsampled holdout
23	16	PPI	Subsampled holdout
35	21	PPI	Subsampled holdout
50	33	PPI	Subsampled holdout
37	24	PPI	Subsampled holdout
28	18	PPI	Subsampled holdout
125	85	PPI	Subsampled holdout
21	15	PPI	Subsampled holdout
52	36	PPI	Subsampled holdout
68	46	PPI	Subsampled holdout
30	18	PPI	Subsampled holdout
13	8	PPI	Subsampled holdout
16	11	PPI	Subsampled holdout
55	33	PPI	Subsampled holdout
23	14	PPI	Subsampled holdout
28	20	PPI	Subsampled holdout
164	107	PPI	Subsampled holdout
22	12	PPI	Subsampled holdout
236	154	PPI	Subsampled holdout
33	25	PPI	Subsampled holdout
4	3	PPI	Subsampled holdout
42	28	PPI	Subsampled holdout
18	14	PPI	Subsampled holdout
159	112	PPI	Subsampled holdout
51	35	PPI	Subsampled holdout
96	66	PPI	Subsampled holdout
21	15	PPI	Subsampled holdout
3	1	PPI	Subsampled holdout
2	2	PPI	Subsampled holdout
117	83	PPI	Subsampled holdout
11	8	PPI	Subsampled holdout
151	106	PPI	Subsampled holdout
35	21	PPI	Subsampled holdout
156	108	PPI	Subsampled holdout
36	27	PPI	Subsampled holdout
84	62	PPI	Subsampled holdout
72	45	PPI	Subsampled holdout
9	5	PPI	Subsampled holdout
123	90	PPI	Subsampled holdout
327	223	PPI	Subsampled holdout
143	97	PPI	Subsampled holdout
596	448	PPI	Subsampled holdout
215	147	PPI	Subsampled holdout
123	94	PPI	Subsampled holdout
40	28	PPI	Subsampled holdout
330	244	PPI	Subsampled holdout
230	169	PPI	Subsampled holdout
166	122	PPI	Subsampled holdout
107	70	PPI	Subsampled holdout
167	116	PPI	Subsampled holdout
138	90	PPI	Subsampled holdout
271	188	PPI	Subsampled holdout
273	201	PPI	Subsampled holdout
48	34	PPI	Subsampled holdout
127	89	PPI	Subsampled holdout
200	148	PPI	Subsampled holdout
126	98	PPI	Subsampled holdout
206	139	PPI	Subsampled holdout
61	36	PPI	Subsampled holdout
434	314	PPI	Subsampled holdout
328	223	PPI	Subsampled holdout
247	185	PPI	Subsampled holdout
269	193	PPI	Subsampled holdout
345	240	PPI	Subsampled holdout
323	221	PPI	Subsampled holdout
219	152	PPI	Subsampled holdout
481	344	PPI	Subsampled holdout
231	156	PPI	Subsampled holdout
220	144	PPI	Subsampled holdout
240	167	PPI	Subsampled holdout
585	423	PPI	Subsampled holdout
185	133	PPI	Subsampled holdout
289	201	PPI	Subsampled holdout
189	130	PPI	Subsampled holdout
128	91	PPI	Subsampled holdout
127	93	PPI	Subsampled holdout
248	172	PPI	Subsampled holdout
127	79	PPI	Subsampled holdout
330	237	PPI	Subsampled holdout
47	37	PPI	Subsampled holdout
125	88	PPI	Subsampled holdout
183	135	PPI	Subsampled holdout
162	108	PPI	Subsampled holdout
630	440	PPI	Subsampled holdout
304	208	PPI	Subsampled holdout
246	177	PPI	Subsampled holdout
104	79	PPI	Subsampled holdout
360	263	PPI	Subsampled holdout
75	53	PPI	Subsampled holdout
386	278	PPI	Subsampled holdout
76	55	PPI	Subsampled holdout
91	64	PPI	Subsampled holdout
235	160	PPI	Subsampled holdout
331	241	PPI	Subsampled holdout
127	93	PPI	Subsampled holdout
52	40	PPI	Subsampled holdout
151	113	PPI	Subsampled holdout
121	76	PPI	Subsampled holdout
120	83	PPI	Subsampled holdout
358	247	PPI	Subsampled holdout
