x	y	network	task
84	56	PPI	Subsampled holdout
313	224	PPI	Subsampled holdout
238	168	PPI	Subsampled holdout
108	83	PPI	Subsampled holdout
252	174	PPI	Subsampled holdout
45	28	PPI	Subsampled holdout
70	45	PPI	Subsampled holdout
188	131	PPI	Subsampled holdout
107	70	PPI	Subsampled holdout
317	217	PPI	Subsampled holdout
182	120	PPI	Subsampled holdout
164	117	PPI	Subsampled holdout
304	206	PPI	Subsampled holdout
218	144	PPI	Subsampled holdout
91	64	PPI	Subsampled holdout
129	84	PPI	Subsampled holdout
122	89	PPI	Subsampled holdout
396	274	PPI	Subsampled holdout
117	76	PPI	Subsampled holdout
107	75	PPI	Subsampled holdout
107	74	PPI	Subsampled holdout
268	184	PPI	Subsampled holdout
107	83	PPI	Subsampled holdout
162	111	PPI	Subsampled holdout
91	66	PPI	Subsampled holdout
105	65	PPI	Subsampled holdout
346	223	PPI	Subsampled holdout
445	300	PPI	Subsampled holdout
323	239	PPI	Subsampled holdout
157	119	PPI	Subsampled holdout
346	247	PPI	Subsampled holdout
125	79	PPI	Subsampled holdout
239	181	PPI	Subsampled holdout
119	85	PPI	Subsampled holdout
207	146	PPI	Subsampled holdout
53	41	PPI	Subsampled holdout
56	39	PPI	Subsampled holdout
251	187	PPI	Subsampled holdout
227	155	PPI	Subsampled holdout
123	95	PPI	Subsampled holdout
216	157	PPI	Subsampled holdout
248	162	PPI	Subsampled holdout
222	150	PPI	Subsampled holdout
164	113	PPI	Subsampled holdout
174	117	PPI	Subsampled holdout
443	315	PPI	Subsampled holdout
163	110	PPI	Subsampled holdout
200	155	PPI	Subsampled holdout
140	92	PPI	Subsampled holdout
97	69	PPI	Subsampled holdout
155	115	PPI	Subsampled holdout
91	65	PPI	Subsampled holdout
179	120	PPI	Subsampled holdout
581	403	PPI	Subsampled holdout
171	113	PPI	Subsampled holdout
390	272	PPI	Subsampled holdout
52	34	PPI	Subsampled holdout
158	123	PPI	Subsampled holdout
273	203	PPI	Subsampled holdout
197	132	PPI	Subsampled holdout
334	225	PPI	Subsampled holdout
310	218	PPI	Subsampled holdout
99	75	PPI	Subsampled holdout
275	194	PPI	Subsampled holdout
247	167	PPI	Subsampled holdout
96	70	PPI	Subsampled holdout
118	82	PPI	Subsampled holdout
74	43	PPI	Subsampled holdout
59	48	PPI	Subsampled holdout
39	30	PPI	Subsampled holdout
39	26	PPI	Subsampled holdout
85	55	PPI	Subsampled holdout
338	224	PPI	Subsampled holdout
288	201	PPI	Subsampled holdout
592	436	PPI	Subsampled holdout
204	145	PPI	Subsampled holdout
110	83	PPI	Subsampled holdout
158	110	PPI	Subsampled holdout
145	104	PPI	Subsampled holdout
359	251	PPI	Subsampled holdout
193	130	PPI	Subsampled holdout
142	105	PPI	Subsampled holdout
96	71	PPI	Subsampled holdout
53	43	PPI	Subsampled holdout
81	54	PPI	Subsampled holdout
72	48	PPI	Subsampled holdout
54	36	PPI	Subsampled holdout
180	126	PPI	Subsampled holdout
386	278	PPI	Subsampled holdout
366	256	PPI	Subsampled holdout
103	73	PPI	Subsampled holdout
129	98	PPI	Subsampled holdout
395	268	PPI	Subsampled holdout
259	185	PPI	Subsampled holdout
91	68	PPI	Subsampled holdout
80	53	PPI	Subsampled holdout
71	47	PPI	Subsampled holdout
421	309	PPI	Subsampled holdout
543	364	PPI	Subsampled holdout
200	137	PPI	Subsampled holdout
125	87	PPI	Subsampled holdout
244	177	PPI	Subsampled holdout
95	73	PPI	Subsampled holdout
308	209	PPI	Subsampled holdout
160	116	PPI	Subsampled holdout
363	256	PPI	Subsampled holdout
94	63	PPI	Subsampled holdout
86	56	PPI	Subsampled holdout
115	78	PPI	Subsampled holdout
65	49	PPI	Subsampled holdout
152	112	PPI	Subsampled holdout
233	167	PPI	Subsampled holdout
212	154	PPI	Subsampled holdout
63	45	PPI	Subsampled holdout
189	129	PPI	Subsampled holdout
176	123	PPI	Subsampled holdout
224	164	PPI	Subsampled holdout
171	107	PPI	Subsampled holdout
356	241	PPI	Subsampled holdout
244	180	PPI	Subsampled holdout
106	74	PPI	Subsampled holdout
182	135	PPI	Subsampled holdout
245	171	PPI	Subsampled holdout
227	156	PPI	Subsampled holdout
432	295	PPI	Subsampled holdout
483	331	PPI	Subsampled holdout
82	53	PPI	Subsampled holdout
29	23	PPI	Subsampled holdout
71	50	PPI	Subsampled holdout
383	265	PPI	Subsampled holdout
13	9	PPI	Subsampled holdout
67	46	PPI	Subsampled holdout
77	51	PPI	Subsampled holdout
136	93	PPI	Subsampled holdout
164	120	PPI	Subsampled holdout
225	156	PPI	Subsampled holdout
219	139	PPI	Subsampled holdout
141	106	PPI	Subsampled holdout
79	57	PPI	Subsampled holdout
387	278	PPI	Subsampled holdout
69	47	PPI	Subsampled holdout
261	186	PPI	Subsampled holdout
137	105	PPI	Subsampled holdout
349	235	PPI	Subsampled holdout
150	108	PPI	Subsampled holdout
20	14	PPI	Subsampled holdout
65	47	PPI	Subsampled holdout
105	67	PPI	Subsampled holdout
244	171	PPI	Subsampled holdout
274	192	PPI	Subsampled holdout
145	100	PPI	Subsampled holdout
137	94	PPI	Subsampled holdout
257	179	PPI	Subsampled holdout
114	82	PPI	Subsampled holdout
124	83	PPI	Subsampled holdout
151	113	PPI	Subsampled holdout
446	321	PPI	Subsampled holdout
225	159	PPI	Subsampled holdout
43	31	PPI	Subsampled holdout
99	67	PPI	Subsampled holdout
148	105	PPI	Subsampled holdout
112	80	PPI	Subsampled holdout
122	73	PPI	Subsampled holdout
47	29	PPI	Subsampled holdout
163	114	PPI	Subsampled holdout
356	255	PPI	Subsampled holdout
72	52	PPI	Subsampled holdout
446	321	PPI	Subsampled holdout
60	44	PPI	Subsampled holdout
266	188	PPI	Subsampled holdout
182	126	PPI	Subsampled holdout
187	134	PPI	Subsampled holdout
174	118	PPI	Subsampled holdout
418	296	PPI	Subsampled holdout
48	31	PPI	Subsampled holdout
151	106	PPI	Subsampled holdout
97	78	PPI	Subsampled holdout
332	233	PPI	Subsampled holdout
85	53	PPI	Subsampled holdout
192	138	PPI	Subsampled holdout
118	85	PPI	Subsampled holdout
82	59	PPI	Subsampled holdout
308	209	PPI	Subsampled holdout
241	170	PPI	Subsampled holdout
199	128	PPI	Subsampled holdout
239	171	PPI	Subsampled holdout
190	132	PPI	Subsampled holdout
587	413	PPI	Subsampled holdout
301	204	PPI	Subsampled holdout
298	210	PPI	Subsampled holdout
207	137	PPI	Subsampled holdout
127	91	PPI	Subsampled holdout
203	139	PPI	Subsampled holdout
395	274	PPI	Subsampled holdout
21	16	PPI	Subsampled holdout
120	80	PPI	Subsampled holdout
447	318	PPI	Subsampled holdout
304	213	PPI	Subsampled holdout
214	137	PPI	Subsampled holdout
86	56	PPI	Subsampled holdout
50	35	PPI	Subsampled holdout
141	101	PPI	Subsampled holdout
90	51	PPI	Subsampled holdout
143	115	PPI	Subsampled holdout
85	64	PPI	Subsampled holdout
165	118	PPI	Subsampled holdout
71	48	PPI	Subsampled holdout
223	161	PPI	Subsampled holdout
145	105	PPI	Subsampled holdout
96	66	PPI	Subsampled holdout
223	150	PPI	Subsampled holdout
200	142	PPI	Subsampled holdout
273	196	PPI	Subsampled holdout
118	84	PPI	Subsampled holdout
215	143	PPI	Subsampled holdout
83	64	PPI	Subsampled holdout
100	75	PPI	Subsampled holdout
294	199	PPI	Subsampled holdout
294	195	PPI	Subsampled holdout
118	77	PPI	Subsampled holdout
400	280	PPI	Subsampled holdout
11	7	PPI	Subsampled holdout
84	57	PPI	Subsampled holdout
330	232	PPI	Subsampled holdout
211	141	PPI	Subsampled holdout
136	103	PPI	Subsampled holdout
49	34	PPI	Subsampled holdout
21	15	PPI	Subsampled holdout
258	168	PPI	Subsampled holdout
98	80	PPI	Subsampled holdout
359	254	PPI	Subsampled holdout
58	44	PPI	Subsampled holdout
207	145	PPI	Subsampled holdout
182	138	PPI	Subsampled holdout
169	122	PPI	Subsampled holdout
90	66	PPI	Subsampled holdout
233	162	PPI	Subsampled holdout
138	99	PPI	Subsampled holdout
68	55	PPI	Subsampled holdout
81	60	PPI	Subsampled holdout
238	164	PPI	Subsampled holdout
187	123	PPI	Subsampled holdout
162	110	PPI	Subsampled holdout
176	129	PPI	Subsampled holdout
98	60	PPI	Subsampled holdout
50	38	PPI	Subsampled holdout
55	37	PPI	Subsampled holdout
207	146	PPI	Subsampled holdout
256	183	PPI	Subsampled holdout
116	84	PPI	Subsampled holdout
352	240	PPI	Subsampled holdout
302	216	PPI	Subsampled holdout
77	46	PPI	Subsampled holdout
79	54	PPI	Subsampled holdout
160	113	PPI	Subsampled holdout
400	276	PPI	Subsampled holdout
116	77	PPI	Subsampled holdout
34	23	PPI	Subsampled holdout
508	369	PPI	Subsampled holdout
100	71	PPI	Subsampled holdout
154	102	PPI	Subsampled holdout
26	14	PPI	Subsampled holdout
102	67	PPI	Subsampled holdout
204	153	PPI	Subsampled holdout
48	33	PPI	Subsampled holdout
86	57	PPI	Subsampled holdout
226	161	PPI	Subsampled holdout
336	230	PPI	Subsampled holdout
282	197	PPI	Subsampled holdout
68	53	PPI	Subsampled holdout
47	30	PPI	Subsampled holdout
248	170	PPI	Subsampled holdout
71	49	PPI	Subsampled holdout
279	194	PPI	Subsampled holdout
132	94	PPI	Subsampled holdout
327	226	PPI	Subsampled holdout
155	106	PPI	Subsampled holdout
149	98	PPI	Subsampled holdout
104	72	PPI	Subsampled holdout
158	105	PPI	Subsampled holdout
214	155	PPI	Subsampled holdout
111	77	PPI	Subsampled holdout
116	74	PPI	Subsampled holdout
146	102	PPI	Subsampled holdout
181	125	PPI	Subsampled holdout
127	86	PPI	Subsampled holdout
204	144	PPI	Subsampled holdout
63	43	PPI	Subsampled holdout
241	178	PPI	Subsampled holdout
91	59	PPI	Subsampled holdout
118	90	PPI	Subsampled holdout
225	154	PPI	Subsampled holdout
397	253	PPI	Subsampled holdout
45	32	PPI	Subsampled holdout
240	158	PPI	Subsampled holdout
242	181	PPI	Subsampled holdout
68	50	PPI	Subsampled holdout
127	94	PPI	Subsampled holdout
125	82	PPI	Subsampled holdout
142	102	PPI	Subsampled holdout
81	59	PPI	Subsampled holdout
22	12	PPI	Subsampled holdout
81	53	PPI	Subsampled holdout
182	124	PPI	Subsampled holdout
85	62	PPI	Subsampled holdout
159	107	PPI	Subsampled holdout
234	164	PPI	Subsampled holdout
175	125	PPI	Subsampled holdout
228	152	PPI	Subsampled holdout
150	108	PPI	Subsampled holdout
80	56	PPI	Subsampled holdout
96	73	PPI	Subsampled holdout
64	41	PPI	Subsampled holdout
59	41	PPI	Subsampled holdout
240	180	PPI	Subsampled holdout
72	52	PPI	Subsampled holdout
430	287	PPI	Subsampled holdout
202	145	PPI	Subsampled holdout
135	92	PPI	Subsampled holdout
180	122	PPI	Subsampled holdout
57	40	PPI	Subsampled holdout
274	201	PPI	Subsampled holdout
175	135	PPI	Subsampled holdout
166	116	PPI	Subsampled holdout
176	128	PPI	Subsampled holdout
100	66	PPI	Subsampled holdout
222	139	PPI	Subsampled holdout
150	110	PPI	Subsampled holdout
197	133	PPI	Subsampled holdout
143	108	PPI	Subsampled holdout
64	45	PPI	Subsampled holdout
101	74	PPI	Subsampled holdout
16	11	PPI	Subsampled holdout
123	91	PPI	Subsampled holdout
223	160	PPI	Subsampled holdout
199	145	PPI	Subsampled holdout
2	1	PPI	Subsampled holdout
549	386	PPI	Subsampled holdout
324	223	PPI	Subsampled holdout
287	183	PPI	Subsampled holdout
170	121	PPI	Subsampled holdout
112	71	PPI	Subsampled holdout
88	66	PPI	Subsampled holdout
213	155	PPI	Subsampled holdout
152	116	PPI	Subsampled holdout
119	86	PPI	Subsampled holdout
155	114	PPI	Subsampled holdout
68	48	PPI	Subsampled holdout
202	133	PPI	Subsampled holdout
102	74	PPI	Subsampled holdout
164	104	PPI	Subsampled holdout
443	301	PPI	Subsampled holdout
75	46	PPI	Subsampled holdout
161	108	PPI	Subsampled holdout
135	89	PPI	Subsampled holdout
33	25	PPI	Subsampled holdout
40	33	PPI	Subsampled holdout
400	289	PPI	Subsampled holdout
93	65	PPI	Subsampled holdout
67	42	PPI	Subsampled holdout
38	24	PPI	Subsampled holdout
193	140	PPI	Subsampled holdout
172	120	PPI	Subsampled holdout
121	87	PPI	Subsampled holdout
109	71	PPI	Subsampled holdout
132	92	PPI	Subsampled holdout
55	40	PPI	Subsampled holdout
97	73	PPI	Subsampled holdout
167	111	PPI	Subsampled holdout
249	184	PPI	Subsampled holdout
198	145	PPI	Subsampled holdout
135	89	PPI	Subsampled holdout
117	81	PPI	Subsampled holdout
171	112	PPI	Subsampled holdout
170	116	PPI	Subsampled holdout
131	96	PPI	Subsampled holdout
238	172	PPI	Subsampled holdout
98	64	PPI	Subsampled holdout
677	468	PPI	Subsampled holdout
423	293	PPI	Subsampled holdout
287	204	PPI	Subsampled holdout
476	344	PPI	Subsampled holdout
199	130	PPI	Subsampled holdout
588	410	PPI	Subsampled holdout
305	200	PPI	Subsampled holdout
121	84	PPI	Subsampled holdout
283	195	PPI	Subsampled holdout
135	84	PPI	Subsampled holdout
262	175	PPI	Subsampled holdout
91	66	PPI	Subsampled holdout
33	19	PPI	Subsampled holdout
760	524	PPI	Subsampled holdout
939	646	PPI	Subsampled holdout
139	102	PPI	Subsampled holdout
494	331	PPI	Subsampled holdout
144	104	PPI	Subsampled holdout
1330	943	PPI	Subsampled holdout
407	278	PPI	Subsampled holdout
131	87	PPI	Subsampled holdout
93	67	PPI	Subsampled holdout
123	84	PPI	Subsampled holdout
360	245	PPI	Subsampled holdout
126	94	PPI	Subsampled holdout
551	405	PPI	Subsampled holdout
272	185	PPI	Subsampled holdout
331	236	PPI	Subsampled holdout
118	80	PPI	Subsampled holdout
339	239	PPI	Subsampled holdout
127	85	PPI	Subsampled holdout
316	212	PPI	Subsampled holdout
139	104	PPI	Subsampled holdout
357	237	PPI	Subsampled holdout
552	384	PPI	Subsampled holdout
213	151	PPI	Subsampled holdout
264	177	PPI	Subsampled holdout
14	13	PPI	Subsampled holdout
139	98	PPI	Subsampled holdout
215	141	PPI	Subsampled holdout
342	234	PPI	Subsampled holdout
349	234	PPI	Subsampled holdout
358	259	PPI	Subsampled holdout
386	278	PPI	Subsampled holdout
157	109	PPI	Subsampled holdout
387	279	PPI	Subsampled holdout
107	72	PPI	Subsampled holdout
341	230	PPI	Subsampled holdout
1850	1284	PPI	Subsampled holdout
170	112	PPI	Subsampled holdout
146	104	PPI	Subsampled holdout
98	64	PPI	Subsampled holdout
198	145	PPI	Subsampled holdout
89	58	PPI	Subsampled holdout
76	55	PPI	Subsampled holdout
237	159	PPI	Subsampled holdout
192	149	PPI	Subsampled holdout
293	194	PPI	Subsampled holdout
46	34	PPI	Subsampled holdout
168	108	PPI	Subsampled holdout
365	254	PPI	Subsampled holdout
135	99	PPI	Subsampled holdout
333	236	PPI	Subsampled holdout
684	471	PPI	Subsampled holdout
56	41	PPI	Subsampled holdout
169	116	PPI	Subsampled holdout
644	442	PPI	Subsampled holdout
148	110	PPI	Subsampled holdout
147	98	PPI	Subsampled holdout
218	148	PPI	Subsampled holdout
255	168	PPI	Subsampled holdout
265	177	PPI	Subsampled holdout
265	182	PPI	Subsampled holdout
80	56	PPI	Subsampled holdout
64	46	PPI	Subsampled holdout
52	34	PPI	Subsampled holdout
420	288	PPI	Subsampled holdout
532	364	PPI	Subsampled holdout
563	406	PPI	Subsampled holdout
591	415	PPI	Subsampled holdout
73	52	PPI	Subsampled holdout
285	199	PPI	Subsampled holdout
956	642	PPI	Subsampled holdout
663	441	PPI	Subsampled holdout
169	126	PPI	Subsampled holdout
165	113	PPI	Subsampled holdout
174	117	PPI	Subsampled holdout
124	87	PPI	Subsampled holdout
216	151	PPI	Subsampled holdout
195	141	PPI	Subsampled holdout
593	409	PPI	Subsampled holdout
384	264	PPI	Subsampled holdout
184	135	PPI	Subsampled holdout
184	138	PPI	Subsampled holdout
162	113	PPI	Subsampled holdout
337	236	PPI	Subsampled holdout
294	196	PPI	Subsampled holdout
590	422	PPI	Subsampled holdout
57	38	PPI	Subsampled holdout
112	76	PPI	Subsampled holdout
307	214	PPI	Subsampled holdout
81	61	PPI	Subsampled holdout
663	470	PPI	Subsampled holdout
241	170	PPI	Subsampled holdout
395	285	PPI	Subsampled holdout
310	217	PPI	Subsampled holdout
261	197	PPI	Subsampled holdout
666	479	PPI	Subsampled holdout
87	60	PPI	Subsampled holdout
265	192	PPI	Subsampled holdout
573	409	PPI	Subsampled holdout
383	267	PPI	Subsampled holdout
47	36	PPI	Subsampled holdout
291	208	PPI	Subsampled holdout
766	550	PPI	Subsampled holdout
263	173	PPI	Subsampled holdout
257	178	PPI	Subsampled holdout
319	237	PPI	Subsampled holdout
232	160	PPI	Subsampled holdout
416	279	PPI	Subsampled holdout
87	59	PPI	Subsampled holdout
437	318	PPI	Subsampled holdout
139	97	PPI	Subsampled holdout
421	280	PPI	Subsampled holdout
237	164	PPI	Subsampled holdout
262	176	PPI	Subsampled holdout
51	35	PPI	Subsampled holdout
482	323	PPI	Subsampled holdout
101	58	PPI	Subsampled holdout
101	69	PPI	Subsampled holdout
482	338	PPI	Subsampled holdout
49	36	PPI	Subsampled holdout
105	74	PPI	Subsampled holdout
306	217	PPI	Subsampled holdout
34	26	PPI	Subsampled holdout
383	267	PPI	Subsampled holdout
135	83	PPI	Subsampled holdout
153	111	PPI	Subsampled holdout
467	333	PPI	Subsampled holdout
114	79	PPI	Subsampled holdout
71	42	PPI	Subsampled holdout
235	174	PPI	Subsampled holdout
201	141	PPI	Subsampled holdout
327	238	PPI	Subsampled holdout
281	176	PPI	Subsampled holdout
437	304	PPI	Subsampled holdout
150	106	PPI	Subsampled holdout
494	342	PPI	Subsampled holdout
71	55	PPI	Subsampled holdout
273	180	PPI	Subsampled holdout
181	134	PPI	Subsampled holdout
160	109	PPI	Subsampled holdout
262	180	PPI	Subsampled holdout
225	146	PPI	Subsampled holdout
74	45	PPI	Subsampled holdout
75	60	PPI	Subsampled holdout
15	9	PPI	Subsampled holdout
52	35	PPI	Subsampled holdout
46	37	PPI	Subsampled holdout
894	628	PPI	Subsampled holdout
131	87	PPI	Subsampled holdout
45	26	PPI	Subsampled holdout
123	92	PPI	Subsampled holdout
58	42	PPI	Subsampled holdout
30	16	PPI	Subsampled holdout
415	293	PPI	Subsampled holdout
51	33	PPI	Subsampled holdout
95	68	PPI	Subsampled holdout
137	96	PPI	Subsampled holdout
165	111	PPI	Subsampled holdout
375	260	PPI	Subsampled holdout
405	272	PPI	Subsampled holdout
344	247	PPI	Subsampled holdout
225	157	PPI	Subsampled holdout
360	258	PPI	Subsampled holdout
182	133	PPI	Subsampled holdout
645	439	PPI	Subsampled holdout
210	158	PPI	Subsampled holdout
214	163	PPI	Subsampled holdout
1009	706	PPI	Subsampled holdout
229	163	PPI	Subsampled holdout
254	168	PPI	Subsampled holdout
399	278	PPI	Subsampled holdout
351	247	PPI	Subsampled holdout
600	412	PPI	Subsampled holdout
31	18	PPI	Subsampled holdout
410	295	PPI	Subsampled holdout
91	76	PPI	Subsampled holdout
143	103	PPI	Subsampled holdout
96	66	PPI	Subsampled holdout
807	552	PPI	Subsampled holdout
122	86	PPI	Subsampled holdout
32	23	PPI	Subsampled holdout
324	221	PPI	Subsampled holdout
170	120	PPI	Subsampled holdout
312	223	PPI	Subsampled holdout
582	396	PPI	Subsampled holdout
83	55	PPI	Subsampled holdout
276	206	PPI	Subsampled holdout
436	295	PPI	Subsampled holdout
212	146	PPI	Subsampled holdout
216	162	PPI	Subsampled holdout
129	89	PPI	Subsampled holdout
364	269	PPI	Subsampled holdout
380	262	PPI	Subsampled holdout
377	266	PPI	Subsampled holdout
298	216	PPI	Subsampled holdout
199	135	PPI	Subsampled holdout
250	169	PPI	Subsampled holdout
139	98	PPI	Subsampled holdout
135	96	PPI	Subsampled holdout
179	133	PPI	Subsampled holdout
85	58	PPI	Subsampled holdout
233	168	PPI	Subsampled holdout
272	199	PPI	Subsampled holdout
193	135	PPI	Subsampled holdout
285	193	PPI	Subsampled holdout
279	180	PPI	Subsampled holdout
125	76	PPI	Subsampled holdout
302	214	PPI	Subsampled holdout
477	337	PPI	Subsampled holdout
252	170	PPI	Subsampled holdout
72	53	PPI	Subsampled holdout
332	234	PPI	Subsampled holdout
253	173	PPI	Subsampled holdout
207	149	PPI	Subsampled holdout
216	152	PPI	Subsampled holdout
314	222	PPI	Subsampled holdout
574	391	PPI	Subsampled holdout
64	45	PPI	Subsampled holdout
251	181	PPI	Subsampled holdout
527	356	PPI	Subsampled holdout
207	157	PPI	Subsampled holdout
308	217	PPI	Subsampled holdout
182	132	PPI	Subsampled holdout
383	275	PPI	Subsampled holdout
152	108	PPI	Subsampled holdout
496	341	PPI	Subsampled holdout
322	222	PPI	Subsampled holdout
240	172	PPI	Subsampled holdout
297	206	PPI	Subsampled holdout
223	146	PPI	Subsampled holdout
115	81	PPI	Subsampled holdout
464	329	PPI	Subsampled holdout
35	26	PPI	Subsampled holdout
202	144	PPI	Subsampled holdout
259	174	PPI	Subsampled holdout
342	239	PPI	Subsampled holdout
85	60	PPI	Subsampled holdout
155	117	PPI	Subsampled holdout
345	239	PPI	Subsampled holdout
265	200	PPI	Subsampled holdout
86	56	PPI	Subsampled holdout
113	80	PPI	Subsampled holdout
135	90	PPI	Subsampled holdout
377	260	PPI	Subsampled holdout
58	40	PPI	Subsampled holdout
44	29	PPI	Subsampled holdout
35	28	PPI	Subsampled holdout
111	83	PPI	Subsampled holdout
75	55	PPI	Subsampled holdout
48	33	PPI	Subsampled holdout
84	61	PPI	Subsampled holdout
67	51	PPI	Subsampled holdout
43	31	PPI	Subsampled holdout
429	304	PPI	Subsampled holdout
150	102	PPI	Subsampled holdout
104	74	PPI	Subsampled holdout
284	204	PPI	Subsampled holdout
128	87	PPI	Subsampled holdout
132	90	PPI	Subsampled holdout
140	108	PPI	Subsampled holdout
138	105	PPI	Subsampled holdout
161	112	PPI	Subsampled holdout
483	320	PPI	Subsampled holdout
279	185	PPI	Subsampled holdout
329	223	PPI	Subsampled holdout
529	362	PPI	Subsampled holdout
610	427	PPI	Subsampled holdout
275	188	PPI	Subsampled holdout
296	194	PPI	Subsampled holdout
168	120	PPI	Subsampled holdout
498	328	PPI	Subsampled holdout
417	297	PPI	Subsampled holdout
76	52	PPI	Subsampled holdout
158	120	PPI	Subsampled holdout
354	242	PPI	Subsampled holdout
157	113	PPI	Subsampled holdout
138	94	PPI	Subsampled holdout
212	151	PPI	Subsampled holdout
124	82	PPI	Subsampled holdout
128	91	PPI	Subsampled holdout
171	126	PPI	Subsampled holdout
275	194	PPI	Subsampled holdout
347	247	PPI	Subsampled holdout
400	282	PPI	Subsampled holdout
160	97	PPI	Subsampled holdout
522	364	PPI	Subsampled holdout
287	198	PPI	Subsampled holdout
195	137	PPI	Subsampled holdout
159	115	PPI	Subsampled holdout
289	205	PPI	Subsampled holdout
255	177	PPI	Subsampled holdout
417	293	PPI	Subsampled holdout
278	174	PPI	Subsampled holdout
223	153	PPI	Subsampled holdout
472	306	PPI	Subsampled holdout
366	269	PPI	Subsampled holdout
567	397	PPI	Subsampled holdout
208	142	PPI	Subsampled holdout
219	146	PPI	Subsampled holdout
290	194	PPI	Subsampled holdout
131	88	PPI	Subsampled holdout
70	52	PPI	Subsampled holdout
216	161	PPI	Subsampled holdout
250	178	PPI	Subsampled holdout
147	109	PPI	Subsampled holdout
314	212	PPI	Subsampled holdout
105	76	PPI	Subsampled holdout
111	72	PPI	Subsampled holdout
272	197	PPI	Subsampled holdout
101	72	PPI	Subsampled holdout
553	388	PPI	Subsampled holdout
135	98	PPI	Subsampled holdout
251	166	PPI	Subsampled holdout
110	71	PPI	Subsampled holdout
222	155	PPI	Subsampled holdout
580	416	PPI	Subsampled holdout
257	184	PPI	Subsampled holdout
235	166	PPI	Subsampled holdout
60	46	PPI	Subsampled holdout
367	268	PPI	Subsampled holdout
135	100	PPI	Subsampled holdout
210	137	PPI	Subsampled holdout
225	165	PPI	Subsampled holdout
240	166	PPI	Subsampled holdout
473	327	PPI	Subsampled holdout
600	447	PPI	Subsampled holdout
270	178	PPI	Subsampled holdout
