expected_frac	lower_ci	upper_ci	feature	feature_value	metaedge
0.11418958	0.11205083	0.116345674	Edge prior	0.12838863965437255	AeG
0.15074159	0.14833	0.15316893	Edge prior	0.18117073577205772	AeG
0.2045721	0.20185806	0.2072994	Edge prior	0.2504855173720297	AeG
0.2720828	0.26907846	0.27509743	Edge prior	0.33520529517505365	AeG
0.38276267	0.37948507	0.38604552	Edge prior	0.4335676092240072	AeG
0.51704764	0.5136697	0.5204247	Edge prior	0.5402707909665396	AeG
0.675229	0.6720633	0.6783869	Edge prior	0.6453675990648253	AeG
0.79854745	0.79583156	0.80124986	Edge prior	0.7443311360531766	AeG
0.8772697	0.8750457	0.8794767	Edge prior	0.8356447229443148	AeG
0.9243638	0.9225676	0.9261409	Edge prior	0.9123230162126471	AeG
0.9884265	0.98769236	0.98913854	Edge prior	0.9707354778820994	AeG
1.3311187e-6	4.6174696e-7	2.652561e-6	Scaled degree	6.043609697030813e-8	AeG
7.341895e-5	2.8288276e-5	1.3969325e-4	Scaled degree	8.702513416580631e-6	AeG
3.060013e-5	5.0871326e-6	7.853384e-5	Scaled degree	1.423120070116309e-5	AeG
1.9505933e-4	1.1036326e-4	3.0347193e-4	Scaled degree	1.9882665475215068e-5	AeG
1.09219254e-4	5.1199837e-5	1.8884128e-4	Scaled degree	2.5971474028692732e-5	AeG
1.106852e-4	5.188707e-5	1.9137583e-4	Scaled degree	3.237584610341756e-5	AeG
2.3839426e-4	1.4661725e-4	3.5211112e-4	Scaled degree	3.923047322723127e-5	AeG
2.3586108e-4	1.4092265e-4	3.5484353e-4	Scaled degree	4.697393988748638e-5	AeG
2.0514526e-4	1.2256965e-4	3.0863495e-4	Scaled degree	5.655834226219341e-5	AeG
2.6631984e-4	1.6590416e-4	3.9010806e-4	Scaled degree	6.693723241898968e-5	AeG
3.491744e-4	2.3474205e-4	4.8595772e-4	Scaled degree	7.735238667163402e-5	AeG
2.9314726e-4	1.9062433e-4	4.1737212e-4	Scaled degree	8.933442773489423e-5	AeG
3.5738884e-4	2.3653e-4	5.0278334e-4	Scaled degree	1.0160536340828922e-4	AeG
3.8124918e-4	2.6481468e-4	5.1855715e-4	Scaled degree	1.1543343331631293e-4	AeG
3.1696705e-4	2.0611455e-4	4.5128382e-4	Scaled degree	1.3108525213431895e-4	AeG
8.522869e-4	6.625525e-4	0.0010655256	Scaled degree	1.4777318888260882e-4	AeG
6.2348583e-4	4.6638545e-4	8.0302387e-4	Scaled degree	1.684431630318198e-4	AeG
8.1366487e-4	6.3374965e-4	0.0010156985	Scaled degree	1.928816867930741e-4	AeG
6.6897157e-4	5.060517e-4	8.542618e-4	Scaled degree	2.2073166922177817e-4	AeG
8.104554e-4	6.336145e-4	0.001008712	Scaled degree	2.526657302913656e-4	AeG
0.0010157148	8.048677e-4	0.0012506931	Scaled degree	2.870530245983335e-4	AeG
8.808465e-4	6.934961e-4	0.0010902376	Scaled degree	3.2744818678383307e-4	AeG
0.0011164588	9.04957e-4	0.0013498116	Scaled degree	3.7936063589158133e-4	AeG
0.0012978546	0.0010621803	0.0015567561	Scaled degree	4.3949121963397265e-4	AeG
0.0015104658	0.0012589002	0.0017845691	Scaled degree	5.097740472734879e-4	AeG
0.0017323492	0.001465994	0.0020205681	Scaled degree	5.997627319231052e-4	AeG
0.0025129279	0.002182997	0.0028656765	Scaled degree	7.159108894260253e-4	AeG
0.0027106297	0.0023687792	0.0030751203	Scaled degree	8.69056718693446e-4	AeG
0.002953376	0.002598036	0.0033310899	Scaled degree	0.0010692456917360605	AeG
0.0034233166	0.0030402516	0.0038287	Scaled degree	0.0013289641074925081	AeG
0.0039011627	0.003491998	0.0043325755	Scaled degree	0.00166513477412149	AeG
0.004937031	0.004475819	0.005420418	Scaled degree	0.0020962146896517484	AeG
0.006829949	0.006283624	0.007398562	Scaled degree	0.002705263323195073	AeG
0.007859705	0.007273403	0.008468226	Scaled degree	0.0035400051157800758	AeG
0.011219639	0.010519934	0.011941294	Scaled degree	0.004739354012451452	AeG
0.018637784	0.01773495	0.019562285	Scaled degree	0.007122475010801405	AeG
0.028073533	0.026968172	0.029200137	Scaled degree	0.011199278421929365	AeG
0.04174176	0.040402327	0.043101776	Scaled degree	0.01687826360909039	AeG
0.052312147	0.050816108	0.05382839	Scaled degree	0.024088441058560946	AeG
0.07855084	0.076744035	0.08037658	Scaled degree	0.03319462632411838	AeG
0.099513985	0.09750052	0.10154548	Scaled degree	0.043865466644377966	AeG
0.1307141	0.1284447	0.13300012	Scaled degree	0.05628446912393115	AeG
0.16737284	0.1648597	0.16990092	Scaled degree	0.07100058583669205	AeG
0.21384205	0.21107906	0.2166179	Scaled degree	0.0890004853936731	AeG
0.2794565	0.27642977	0.28249314	Scaled degree	0.10951248137363609	AeG
0.37153116	0.36827117	0.3747969	Scaled degree	0.13265950340260727	AeG
0.49506345	0.49168587	0.49844125	Scaled degree	0.15833227740981726	AeG
0.6475874	0.6443571	0.65081114	Scaled degree	0.18719415515880805	AeG
0.78514594	0.7823676	0.78791153	Scaled degree	0.2207423885857229	AeG
0.8813244	0.87913007	0.8835015	Scaled degree	0.26357253158888955	AeG
0.915523	0.9136348	0.9173925	Scaled degree	0.32788692523996804	AeG
0.9859037	0.9850964	0.9866891	Scaled degree	0.4582624340653031	AeG
1.3311187e-6	4.6174696e-7	2.652561e-6	Approximate prior	1.69175506015171e-7	AeG
6.921547e-5	2.4010587e-5	1.37924e-4	Approximate prior	2.3671761467769408e-5	AeG
4.1863525e-5	1.010649e-5	9.5762385e-5	Approximate prior	3.831948585464316e-5	AeG
1.8408988e-4	1.04156534e-4	2.864065e-4	Approximate prior	5.459826860362093e-5	AeG
1.1318282e-4	5.3057945e-5	1.956941e-4	Approximate prior	7.195052493198109e-5	AeG
8.690514e-5	3.6281923e-5	1.5925399e-4	Approximate prior	8.94707922011507e-5	AeG
2.6214612e-4	1.6525511e-4	3.810244e-4	Approximate prior	1.0858371726559193e-4	AeG
2.2184382e-4	1.3254717e-4	3.3375618e-4	Approximate prior	1.307377879977445e-4	AeG
2.2902842e-4	1.3684004e-4	3.445646e-4	Approximate prior	1.5678019896808867e-4	AeG
2.522793e-4	1.5715713e-4	3.6954245e-4	Approximate prior	1.8480604687762893e-4	AeG
3.2461018e-4	2.1483483e-4	4.5667228e-4	Approximate prior	2.1484929059125337e-4	AeG
3.0082106e-4	1.9561466e-4	4.2829718e-4	Approximate prior	2.474769123344801e-4	AeG
3.5096068e-4	2.35943e-4	4.884436e-4	Approximate prior	2.8287536780957547e-4	AeG
3.5689658e-4	2.3993383e-4	4.967042e-4	Approximate prior	3.213634407876445e-4	AeG
3.4962135e-4	2.3504253e-4	4.865797e-4	Approximate prior	3.636919285548481e-4	AeG
8.265446e-4	6.437824e-4	0.0010317747	Approximate prior	4.1241232069076086e-4	AeG
6.220453e-4	4.653078e-4	8.011687e-4	Approximate prior	4.7147391079314786e-4	AeG
8.305846e-4	6.4692943e-4	0.0010368174	Approximate prior	5.391854894990285e-4	AeG
6.423857e-4	4.8330205e-4	8.2373904e-4	Approximate prior	6.164172647148584e-4	AeG
7.820055e-4	6.0423e-4	9.823369e-4	Approximate prior	7.034641885886998e-4	AeG
0.0010405395	8.3407963e-4	0.0012694607	Approximate prior	8.00064600027838e-4	AeG
8.822876e-4	6.946308e-4	0.0010920211	Approximate prior	9.165900183608002e-4	AeG
0.0011065917	8.9271873e-4	0.0013430589	Approximate prior	0.001059138965906625	AeG
0.0013130441	0.0010787888	0.00156994	Approximate prior	0.0012261915530333485	AeG
0.0014953956	0.0012463382	0.0017667664	Approximate prior	0.0014260412301625143	AeG
0.0017118794	0.0014434578	0.0020028104	Approximate prior	0.0016747234824844356	AeG
0.002520929	0.002194469	0.0028696358	Approximate prior	0.0019981389329122093	AeG
0.0026980138	0.0023577525	0.0030608105	Approximate prior	0.002432056169426332	AeG
0.002953376	0.002598036	0.0033310899	Approximate prior	0.0029938690202563067	AeG
0.0034233166	0.0030402516	0.0038287	Approximate prior	0.0037210623299475405	AeG
0.0039011627	0.003491998	0.0043325755	Approximate prior	0.004662391347570431	AeG
0.004834921	0.004376757	0.0053154496	Approximate prior	0.005864220994857588	AeG
0.006966965	0.00641627	0.0075398455	Approximate prior	0.0075646803332067225	AeG
0.007839949	0.0072555495	0.008446478	Approximate prior	0.009914073425075443	AeG
0.011194207	0.010495352	0.011915009	Approximate prior	0.013299078343963775	AeG
0.018750519	0.017846534	0.019676091	Approximate prior	0.02003379880717132	AeG
0.02820002	0.027089981	0.029331382	Approximate prior	0.03148610593594538	AeG
0.04107338	0.039743844	0.042423543	Approximate prior	0.04748832735715049	AeG
0.05310318	0.051598687	0.054627776	Approximate prior	0.0678430134986216	AeG
0.07872644	0.07691577	0.08055609	Approximate prior	0.0934370928065635	AeG
0.09946542	0.09745492	0.10149392	Approximate prior	0.12314791424033988	AeG
0.1295673	0.12730567	0.13184562	Approximate prior	0.15733944691315085	AeG
0.1683505	0.1658311	0.17088483	Approximate prior	0.19721252597685518	AeG
0.2125878	0.20982975	0.2153588	Approximate prior	0.24467960028668465	AeG
0.27859655	0.27557355	0.28162947	Approximate prior	0.2966124610485648	AeG
0.3718887	0.3686265	0.37515667	Approximate prior	0.35226891727173304	AeG
0.4937875	0.4904104	0.49716488	Approximate prior	0.4098594861781495	AeG
0.6509145	0.64769244	0.6541298	Approximate prior	0.4693544672917109	AeG
