network	metaedge	feature	cal	ref	brier	weighted_mae	auroc
Unsampled network	CuG	scaled degree	3.5299824094119547e-4	0.00700831602655013	0.007361314267491325	0.45879848489197433	0.9531072627943844
Unsampled network	CuG	approx	3.5153902584797046e-4	0.006941003298888106	0.0072925423247360765	0.43940231540611335	0.9531294660990135
Unsampled network	CrC	edge prior	2.3608694233494477e-4	0.007340440685902344	0.007576527628237288	0.4861652182086412	0.8111997740132666
Unsampled network	CrC	scaled degree	0.00178979546124816	0.007377007270811085	0.009166802732059245	0.4456467377359013	0.8123287054676658
Unsampled network	CrC	approx	2.468839534045586e-4	0.007323181536578079	0.007570065489982637	0.48589110695073634	0.8115709808768993
Unsampled network	CdG	edge prior	2.1637848961058196e-4	0.008240168527425665	0.008456547017036247	0.4198401328480286	0.9544147736707156
Unsampled network	CdG	scaled degree	6.10466652251993e-4	0.0081276109671099	0.008738077619361892	0.45653224595994385	0.953480928650952
Unsampled network	CdG	approx	4.2862442616915634e-4	0.008037881842096747	0.008466506268265903	0.42469633917959837	0.9535099970862172
Unsampled network	CcSE	edge prior	1.7304903248705543e-4	0.014711830969086641	0.014884880001573697	0.3370379730300408	0.9464282343381585
Unsampled network	CcSE	scaled degree	0.00635476413196716	0.013812545561575006	0.020167309693542166	0.4695044824621811	0.9459645880622493
Unsampled network	CcSE	approx	0.3485386501367162	0.01298823815030777	0.36152688828702395	0.6888325254869015	0.9458448695825777
Unsampled network	CbG	edge prior	1.2126816835263216e-4	0.004340903943834127	0.004462172112186759	0.4520603611133982	0.9161421775706774
Unsampled network	CbG	scaled degree	4.362148480101676e-4	0.004338320167589807	0.004774535015599974	0.491399195802015	0.9159517038161628
Unsampled network	CbG	approx	1.894233062455895e-4	0.004282857010027869	0.004472280316273459	0.45446413157467364	0.9159439328027501
Unsampled network	CCpG	edge prior	9.933182366781124e-5	0.004622393620321168	0.00472172544398898	0.4736248642245562	0.9200414227032608
Unsampled network	CCpG	scaled degree	1.2961319071617172e-4	0.004602623090347196	0.004732236281063368	0.4699599776646078	0.9199808270374523
Unsampled network	CCpG	approx	5.93882156863611e-4	0.004566728576055631	0.005160610732919242	0.4431394566874386	0.919981942462529
Unsampled network	BPpG	edge prior	2.336864933166688e-5	0.0031243784206705515	0.0031477470700022182	0.473540435133647	0.9293717133420292
Unsampled network	BPpG	scaled degree	8.95205511388935e-5	0.0030699553977230026	0.0031594759488618963	0.4807339942683427	0.9292900099438028
Unsampled network	BPpG	approx	0.18824050145983645	0.0030176790080064333	0.19125818046784288	0.6071869316887398	0.9291167728153743
Unsampled network	AuG	edge prior	0.006759233688932091	0.12167435241417036	0.12843358610310246	0.4508097772128671	0.7389303377098786
Unsampled network	AuG	scaled degree	0.009095707401823225	0.12168094555119609	0.13077665295301932	0.4615896886343192	0.7355817034408493
Unsampled network	AuG	approx	0.21833954944570833	0.12161904923958342	0.33995859868529177	0.41187385662291504	0.7350914477905987
Unsampled network	AlD	edge prior	0.002340262884444806	0.05688334157765084	0.059223604462095646	0.4654038344211555	0.7597210109629897
Unsampled network	AlD	scaled degree	0.0022051020803437313	0.057531440119128543	0.059736542199472276	0.4730256686350851	0.7587310358673949
Unsampled network	AlD	approx	0.00280459564835122	0.056510361084916264	0.059314956733267477	0.4663957630446375	0.7587782687870416
Unsampled network	AeG	edge prior	0.0022134570994451286	0.03616449971419713	0.038377956813642256	0.18523115781763036	0.9740106252718084
Unsampled network	AeG	scaled degree	0.03775877501809574	0.036176026170126274	0.07393480118822202	0.38923840918882036	0.972934584595773
Unsampled network	AeG	approx	34.287076038824146	0.03614526774551736	34.323221306569664	5.015502128609714	0.9649260489010321
Unsampled network	AdG	edge prior	0.008285745500564214	0.11733042516033851	0.12561617066090272	0.4083471733875569	0.8000333590170271
Unsampled network	AdG	scaled degree	0.023379664563667666	0.1173394766314996	0.14071914119516726	0.45320536304443915	0.7953584105855955
Unsampled network	AdG	approx	0.5341480827771421	0.11729546169595334	0.6514435444730955	0.49776378534358134	0.7963643938920306
Sampled network	GpPW	edge prior	7.595708109843329e-5	0.0015440321587156637	0.001619989239814097	0.47800495260230785	0.8700613034901726
Sampled network	GpPW	scaled degree	3.956822736742142e-5	0.0015285274633987877	0.001568095690766209	0.49141811907819477	0.8699569108188114
Sampled network	GpPW	approx	0.0012895532537239324	0.001514249892877923	0.0028038031466018553	0.4599583324846254	0.8699999128715049
Sampled network	GpMF	edge prior	2.4764662090392764e-5	7.867402104737035e-4	8.115048725640963e-4	0.48645904528509115	0.9042065993651999
Sampled network	GpMF	scaled degree	2.7073847135427746e-4	7.86254301907069e-4	0.0010569927732613465	0.4643656383759273	0.9042090236197832
Sampled network	GpMF	approx	2.2345722958807556e-4	7.844481346920176e-4	0.0010079053642800932	0.46733261565741496	0.9043235800031794
Sampled network	GiG	edge prior	1.3791844519241577e-5	4.1201814188531063e-4	4.258099864045522e-4	0.4732715961937588	0.9304079631493356
Sampled network	GiG	scaled degree	2.2250646279604955e-5	4.052519143558656e-4	4.2750256063547057e-4	0.4998266657378313	0.9303536668956767
Sampled network	GiG	approx	0.007185120651740054	4.0194539426874814e-4	0.007587066046008802	0.5272582048770478	0.930352160458048
Sampled network	GcG	edge prior	4.5280962383848325e-6	2.6128516481067535e-4	2.658132610490602e-4	0.48781703263803483	0.8921720208871025
Sampled network	GcG	scaled degree	6.984535079644521e-6	2.574490656982391e-4	2.644336007778836e-4	0.4898766891733088	0.8922703146646406
Sampled network	GcG	approx	5.09353487891476e-5	2.5550558409149034e-4	3.064409328806379e-4	0.46971310336497973	0.8922534998533899
Sampled network	G<rG	edge prior	1.4219997620415305e-4	0.002425292398058109	0.002567492374262262	0.46649428201114496	0.9273698120138655
Sampled network	G<rG	scaled degree	5.504025407827202e-5	0.002403495361676364	0.002458535615754636	0.48005873555405615	0.9267381017304596
Sampled network	G<rG	approx	0.016218577258878757	0.002376455879014171	0.018595033137892927	0.4299063431754887	0.9267812957487465
Sampled network	DuG	edge prior	9.579336009513106e-4	0.004645574131230544	0.005603507732181855	0.4910128404038573	0.7002248821258676
Sampled network	DuG	scaled degree	0.016265596761848237	0.004642953284612642	0.020908550046460878	0.4672630140184348	0.7006731010969107
Sampled network	DuG	approx	0.06705803635076253	0.00464288025229935	0.07170091660306188	0.4392415407557203	0.7007827426016252
Sampled network	DpS	edge prior	0.0021387649425237275	0.01779196593320594	0.019930730875729667	0.4658003199941946	0.7747119504744662
Sampled network	DpS	scaled degree	0.0015902120124531472	0.017974962392636244	0.01956517440508939	0.4688873129612521	0.7734528418382917
Sampled network	DpS	approx	0.015058292984640833	0.017616808643142242	0.032675101627783074	0.42795230750797725	0.7738411308667384
Sampled network	DdG	edge prior	9.080908533658413e-4	0.004312485989188953	0.005220576842554794	0.49317941017248185	0.6671516564272133
Sampled network	DdG	scaled degree	0.02616690325053832	0.004312358064905005	0.030479261315443325	0.4672875153990883	0.668020687552313
Sampled network	DdG	approx	0.07028489558146553	0.004312266126862341	0.07459716170832786	0.4487086722337291	0.6688323808662097
Sampled network	DaG	edge prior	5.495567217964207e-4	0.004277566836707841	0.004827123558504262	0.4598874616496502	0.8642029989142963
Sampled network	DaG	scaled degree	2.2696956173704448e-4	0.004246840011889729	0.004473809573626773	0.4756727969137361	0.8638072415616094
Sampled network	DaG	approx	0.00782221556885062	0.004193066890797057	0.012015282459647676	0.3924652750482683	0.8634754847196947
Sampled network	CuG	edge prior	2.948187164898056e-4	0.0025764998509882854	0.002871318567478091	0.4547030241517099	0.9440535833470874
Sampled network	CuG	scaled degree	2.303766089811531e-4	0.002551410190013412	0.0027817867989945655	0.46170686358557433	0.9432066708550275
Sampled network	CuG	approx	0.00225210741744132	0.002519190840349077	0.004771298257790397	0.40075370055326864	0.9432616199275826
Sampled network	CrC	edge prior	5.7999405375205915e-5	0.00249030863348115	0.002548308038856356	0.49088909039597717	0.7859503439591939
Sampled network	CrC	scaled degree	0.0024113832095550977	0.0024880608700780437	0.004899444079633141	0.4547126266007676	0.7872779621155678
Sampled network	CrC	approx	4.932731633136091e-4	0.0024824102913818804	0.0029756834546954894	0.47759720630628694	0.7862487667259493
Sampled network	CdG	edge prior	3.3829545132065073e-4	0.003096343227042448	0.0034346386783630986	0.44327464944573775	0.9447110792696459
Sampled network	CdG	scaled degree	1.98343133930983e-4	0.003054293907312874	0.0032526370412438574	0.45875621367535874	0.9439164324849763
Sampled network	CdG	approx	0.0025271539692349448	0.002998321213225208	0.005525475182460153	0.38352371757833936	0.9439581810680917
Sampled network	CcSE	edge prior	3.6127121355870775e-4	0.0060267890818906855	0.006388060295449393	0.3830814309115607	0.943679804202125
Sampled network	CcSE	scaled degree	0.0013172233057441487	0.005553929260811505	0.006871152566555654	0.46974751454308183	0.9431846033262987
Sampled network	CcSE	approx	0.03092153467616637	0.005165775918666624	0.03608731059483299	0.44249957621061975	0.9431901404895886
Sampled network	CbG	edge prior	1.2016838599690977e-4	0.001550104415182098	0.0016702728011790077	0.46479850119875254	0.9101334367719264
Sampled network	CbG	scaled degree	4.716133977670888e-5	0.0015526834770757596	0.0015998448168524685	0.4881957915694037	0.9103915722234189
Sampled network	CbG	approx	8.990984601893121e-4	0.0015396214812249242	0.0024387199414142363	0.42318765972118455	0.9103618149762939
Sampled network	CCpG	edge prior	6.66050634327574e-5	0.0015243401510416762	0.0015909452144744337	0.48240896940547157	0.9067263180486963
Sampled network	CCpG	scaled degree	2.2246601082638245e-4	0.0015188164005451104	0.0017412824113714929	0.47233937626874983	0.9066720292849145
Sampled network	CCpG	approx	6.135513106569243e-4	0.0015134150257594986	0.002126966336416423	0.4580482398177923	0.9067300538708385
Sampled network	BPpG	edge prior	3.059354715051989e-5	0.001007620136173652	0.001038213683324172	0.48151141217460475	0.9226286805249274
Sampled network	BPpG	scaled degree	4.6507823467720316e-5	9.927775486413117e-4	0.001039285372109032	0.48115622618522635	0.9225346490036415
Sampled network	BPpG	approx	0.037959050156528146	9.816400611828372e-4	0.03894069021771098	0.4598533047119458	0.9225733448760643
Sampled network	AuG	edge prior	0.007449661800821519	0.05321794510175922	0.06066760690258074	0.47689604694726145	0.6607863265341536
Sampled network	AuG	scaled degree	0.009562000541345424	0.05319197458278116	0.06275397512412659	0.47586635400435934	0.6577279481494025
Sampled network	AuG	approx	0.06408865084201258	0.05319197458278116	0.11728062542479374	0.4535052264696381	0.6595856811161894
Sampled network	AlD	edge prior	0.002111062877315276	0.020217889963409143	0.02232895284072442	0.480839737709589	0.7019425629438716
Sampled network	AlD	scaled degree	0.0027792633554715295	0.02042884849316464	0.023208111848636172	0.47836816593568676	0.7004384494483861
Sampled network	AlD	approx	0.015130176345691746	0.020152004452539986	0.035282180798231734	0.45835237868238576	0.7008688962932792
Sampled network	AeG	edge prior	0.0023325715805172305	0.019911927229028972	0.022244498809546202	0.2866262797369282	0.9709953219596643
Sampled network	AeG	scaled degree	0.006777965167297044	0.01991114038111807	0.026689105548415113	0.3907954672725198	0.9697993885951465
Sampled network	AeG	approx	63.95820681599858	0.019886756213812716	63.978093572212394	2.5908324848324233	0.961949571170049
Sampled network	AdG	edge prior	0.00844055252832351	0.056187170386366815	0.06462772291469032	0.44828332814620436	0.7459646445667115
Sampled network	AdG	scaled degree	0.0036534585916792447	0.056212440646267424	0.05986589923794667	0.4666350089959273	0.7410089854777455
Sampled network	AdG	approx	0.07740064421440518	0.0561547208521341	0.13355536506653928	0.4158174129325143	0.742552420835776
Separate network	biorxiv	edge prior	2.4429158388501912e-5	0.0024232093011394883	0.00244763845952799	0.49331402932870294	0.7529958269066684
Separate network	biorxiv	scaled degree	2.1977713554101295e-4	0.0024222439062884997	0.0026420210418295125	0.4746878526954377	0.7795810866988899
Separate network	biorxiv	approx	3.368862025195701e-5	0.002416720786170962	0.002450409406422919	0.49440400912933574	0.7792215307370183
Separate network	ppi	edge prior	0.005675852558770081	0.0015461862747236253	0.007222038833493706	0.4998189575310008	0.4954203283221833
Separate network	ppi	scaled degree	5.414114559951311e-4	0.0015346736437257039	0.002076085099720835	0.4999943664373984	0.49492788762706597
Separate network	ppi	approx	0.3209978464065866	0.0015251040575993912	0.32252295046418594	0.5028671759625093	0.4948884968304459
Separate network	tftg	edge prior	0.0166538741522785	0.11865047088561405	0.13530434503789254	0.49494030624275537	0.5915008635106356
Separate network	tftg	scaled degree	0.02377779354784125	0.11497041953940988	0.13874821308725113	0.4983514411186988	0.5959106104836838
Separate network	tftg	approx	0.02778197498632117	0.112168887993977	0.13995086298029819	0.4993444094646027	0.5961896065901969
