network	metaedge	feature	cal	ref	brier	weighted_mae	auroc
Unsampled network	GpPW	edge prior	1.9814746942758936e-4	0.004627287796645122	0.004825435266072712	0.46817691368893016	0.8852803322006704
Unsampled network	GpPW	scaled degree	4.5247345442113576e-4	0.004578768519846829	0.005031241974267965	0.4934521837480138	0.8854140287229265
Unsampled network	GpPW	approx	0.00536279529768708	0.00448741343344296	0.009850208731130041	0.47449859546048145	0.8853930863486454
Unsampled network	GpMF	edge prior	6.803330036639074e-5	0.0024003131517447186	0.0024683464521111096	0.47989510131422175	0.9186087609423844
Unsampled network	GpMF	scaled degree	1.4115864973847134e-4	0.0024067780186917864	0.002547936668430258	0.46215534770139444	0.9186751112827034
Unsampled network	GpMF	approx	6.443839251036189e-4	0.002386177004387625	0.003030560929491244	0.43385470195902587	0.9186528857739414
Unsampled network	GiG	edge prior	1.4379559765617345e-5	0.0011714351907453487	0.0011858147505109662	0.4617651124775691	0.9415351319680725
Unsampled network	GiG	scaled degree	1.304678267176229e-4	0.0011484783012311415	0.0012789461279487644	0.4998309457682813	0.9416041154092711
Unsampled network	GiG	approx	0.09580315864952203	0.0011356328027402095	0.09693879145226224	0.5597593521818401	0.9414483838252882
Unsampled network	GcG	edge prior	9.794231032422046e-6	7.538110842549147e-4	7.636053152873368e-4	0.483539862538002	0.8975080605198433
Unsampled network	GcG	scaled degree	3.1547820839795835e-5	7.391028078935852e-4	7.70650628733381e-4	0.4896856569195812	0.8977600284917109
Unsampled network	GcG	approx	2.5242518076494915e-4	7.311896661034695e-4	0.00098361484686841855	0.4634478563259802	0.8976535636368774
Unsampled network	G<rG	edge prior	8.9083964451081e-5	0.007275040018801571	0.007364123983252652	0.4518718163027676	0.9335848712114473
Unsampled network	G<rG	scaled degree	4.224906834247233e-4	0.0071734651736541045	0.007595955857078828	0.47987951738239815	0.9328408778161363
Unsampled network	G<rG	approx	0.14437569131621894	0.007068313528332532	0.15144400484455148	0.4995182934901412	0.9329328027341168
Unsampled network	DuG	edge prior	2.4612501641900248e-5	0.02946157362797453	0.029486186129616433	0.4878190661202586	0.7175483394927018
Unsampled network	DuG	scaled degree	0.010070792454894038	0.029458996768689596	0.03952978922358363	0.45802668660635326	0.7176143605521252
Unsampled network	DuG	approx	2.705719564650094e-5	0.029458820448686623	0.029485877644333122	0.48745482905263837	0.717790293733222
Unsampled network	DpS	edge prior	0.003101094739054967	0.04802897514122933	0.0511300698802843	0.4456494733848068	0.8126840799588709
Unsampled network	DpS	scaled degree	0.0044711316814218735	0.04826314249192611	0.052734274173347986	0.46744672998617126	0.8126271497752737
Unsampled network	DpS	approx	0.004338210035418094	0.046840329340228436	0.05117853937564653	0.44790568453218704	0.8126678605742739
Unsampled network	DdG	edge prior	1.8603530205091794e-5	0.028589896269938245	0.028608499800143336	0.4892864933925012	0.7110292481531395
Unsampled network	DdG	scaled degree	0.025360311477277433	0.028590259155471063	0.053950570632748496	0.4453398824275639	0.711053974829841
Unsampled network	DdG	approx	1.7114410812236126e-5	0.028589898951786128	0.028607013362598365	0.48892586830644563	0.7110437928006783
Unsampled network	DaG	edge prior	3.075702945253254e-4	0.015242540304010139	0.015550110598535465	0.45201088203203976	0.8692958725656099
Unsampled network	DaG	scaled degree	9.430781571341754e-4	0.015073973786235553	0.016017051943369727	0.47515195519281056	0.8692949908688505
Unsampled network	DaG	approx	6.62790253559016e-4	0.014906843799276447	0.015569634052835462	0.45313864715235525	0.8693183695589205
Unsampled network	CuG	edge prior	2.0285520319320304e-4	0.007075958986552039	0.007278814189745242	0.4367708082233346	0.9540628762018816
