metaedge,adamic,jaccard,preferential,resource,rwr,edge_prior
DrD,0.7010903507011597,0.5524606147141404,0.7799374050257123,0.6951448936909547,0.7242897980373806,0.7759382882458904
DrD,0.7114613209351005,0.5706938428542929,0.7799374050257123,0.7062217297026591,0.7272958248903523,0.7746205616262143
DrD,0.715701843337341,0.5700459901981503,0.7799374050257123,0.7112126932710107,0.7316548598124756,0.774703615105433
DrD,0.7022940045806686,0.5530950888340723,0.7799374050257123,0.6975560492590599,0.7343570873387546,0.7758040293072819
DrD,0.7049723164935449,0.5643956305463949,0.7799374050257123,0.6998378000477128,0.7295502858330181,0.7731185545497974
DrD,0.7204110880834536,0.5651909430861678,0.7799374050257123,0.7177874742566773,0.7370974377735273,0.7758395475450091
DrD,0.6947953350346571,0.5524387118008753,0.7799374050257123,0.6900824792677087,0.7189663245668404,0.7743243987206332
DrD,0.7025955544189721,0.5549426291665114,0.7799374050257123,0.6954121092327884,0.7275278773768361,0.7748681237431724
DrD,0.7008372240602911,0.5501116752591204,0.7799374050257123,0.6951463144204637,0.727692149226324,0.7737529694726666
DrD,0.690796218254835,0.5420277243524285,0.7799374050257123,0.6867349445589908,0.7284795293596713,0.7737096372226396
DrD,0.700722263364181,0.5502204202636283,0.7799374050257123,0.6973018570710596,0.7307982487140918,0.7745961724363083
DrD,0.7260002971692557,0.5818334869497115,0.7799374050257123,0.7210759894937053,0.7370889133964729,0.7745022858945831
DrD,0.7138296770267445,0.5630226138699902,0.7799374050257123,0.7078836872429738,0.7413560744770089,0.7743719931591874
DrD,0.700881562660387,0.5632695840163194,0.7799374050257123,0.696847933992907,0.7302402867979302,0.7742828423824923
DrD,0.7137004498384808,0.5653098699854908,0.7799374050257123,0.7090045244315158,0.7275482411664663,0.7745937453567302
DrD,0.7205711569414772,0.5664986062051545,0.7799374050257123,0.7175441743282466,0.7394898574712316,0.7766200016219995
DrD,0.7028894678361639,0.5617653274515132,0.7799374050257123,0.6973180178692254,0.7236777004072166,0.7737056710194267
DrD,0.7191495986735122,0.5704900273668021,0.7799374050257123,0.7144770561063843,0.7280275005875307,0.7745584639072548
DrD,0.7060587601885544,0.5651135133279227,0.7799374050257123,0.7023682376975183,0.7364403503755759,0.7737814432599112
DrD,0.7084835902781849,0.5527823507508852,0.7799374050257123,0.7042203954008618,0.726635659245131,0.7754824708617257
DrD,0.702492610726626,0.5602690032931326,0.7799374050257123,0.6995156496315278,0.7333708642711984,0.7738187966065876
DrD,0.7173308873106953,0.570645064474481,0.7799374050257123,0.7137286276404111,0.7349523730030609,0.7746479106692643
DrD,0.7043644810519083,0.5527115510636825,0.7799374050257123,0.699540038821434,0.7269614798792143,0.775274748368085
