expected_frac	lower_ci	upper_ci	feature	feature_value	metaedge
1.595622e-4	1.5089172e-4	1.6847145e-4	Edge prior	5.315288224083159e-5	AdG
0.01750702	0.016631316	0.01840447	Edge prior	0.031306906152533565	AdG
0.02993056	0.028790548	0.03109171	Edge prior	0.058266846140783195	AdG
0.04825344	0.04681024	0.049717136	Edge prior	0.09460122756209324	AdG
0.08402478	0.082139194	0.08592952	Edge prior	0.1505841611793444	AdG
0.17406446	0.17149447	0.17664929	Edge prior	0.3106805009810097	AdG
1.589304e-4	1.5027737e-4	1.6782217e-4	Scaled degree	4.1969602749894746e-5	AdG
0.021624736	0.020652998	0.022618001	Scaled degree	0.022668030213668415	AdG
0.028101796	0.02699161	0.029233394	Scaled degree	0.04078319953652902	AdG
0.048383	0.046930823000000003	0.04985587	Scaled degree	0.06410571089766152	AdG
0.08393828	0.08206516	0.085830316	Scaled degree	0.09821413811462194	AdG
0.1707339	0.1681888	0.17329395	Scaled degree	0.20642908217916833	AdG
1.589304e-4	1.5027737e-4	1.6782217e-4	Approximate prior	6.375331195207097e-5	AdG
0.019982928	0.019049354	0.020938061	Approximate prior	0.03469874751682693	AdG
0.029775975	0.028632745	0.030940581	Approximate prior	0.06223124313196017	AdG
0.04640486	0.04499049	0.04783975	Approximate prior	0.09803183113141907	AdG
0.08659763	0.08468871	0.08852551	Approximate prior	0.14989050575050186	AdG
0.1708421	0.16829197	0.17340721	Approximate prior	0.2975567561651125	AdG
6.078136e-5	5.3610645e-5	6.8395595e-5	Edge prior	3.51323752543765e-8	AeG
3.1475443e-5	5.2326523e-6	8.078026e-5	Edge prior	6.924488887072097e-6	AeG
6.512035e-5	2.2589968e-5	1.2976397e-4	Edge prior	1.4799039765037719e-5	AeG
9.587728e-5	4.0027822e-5	1.7569492e-4	Edge prior	2.2753434609163152e-5	AeG
5.6577443e-5	1.6976124e-5	1.19581375e-4	Edge prior	3.1051721560348436e-5	AeG
6.492663e-5	2.2522763e-5	1.2937795e-4	Edge prior	3.765257837400781e-5	AeG
1.3731055e-4	6.723852e-5	2.3197262e-4	Edge prior	5.0338782600443514e-5	AeG
1.4504818e-4	7.371628e-5	2.4011185e-4	Edge prior	6.254964462874828e-5	AeG
1.0415901e-4	4.63474e-5	1.8497398e-4	Edge prior	7.314316909267144e-5	AeG
8.038585e-5	3.09727e-5	1.5294868e-4	Edge prior	8.914789302336387e-5	AeG
1.5772274e-4	8.277475e-5	2.5642387e-4	Edge prior	1.0634703271355431e-4	AeG
1.751525e-4	9.6924545e-5	2.761385e-4	Edge prior	1.2534690438155722e-4	AeG
2.4139041e-4	1.4641625e-4	3.597149e-4	Edge prior	1.435366202573027e-4	AeG
1.8483347e-4	1.0228197e-4	2.914004e-4	Edge prior	1.6947851666721658e-4	AeG
2.0707052e-4	1.19521195e-4	3.1827728e-4	Edge prior	1.9544323976808468e-4	AeG
2.1828887e-4	1.2829417e-4	3.318032e-4	Edge prior	2.2612387778133425e-4	AeG
3.7573144e-4	2.54425e-4	5.203009e-4	Edge prior	2.592186136156326e-4	AeG
3.043176e-4	1.9598563e-4	4.3609468e-4	Edge prior	2.99454939034947e-4	AeG
3.2947905e-4	2.1620363e-4	4.6622654e-4	Edge prior	3.3936191482914017e-4	AeG
4.417401e-4	3.0856958e-4	5.9841323e-4	Edge prior	3.950638819347031e-4	AeG
3.0273825e-4	1.9496844e-4	4.3383156e-4	Edge prior	4.59540096570857e-4	AeG
3.265276e-4	2.1426677e-4	4.6205038e-4	Edge prior	5.316698424840369e-4	AeG
4.5036708e-4	3.162969e-4	6.0774334e-4	Edge prior	6.170468478565866e-4	AeG
5.3620996e-4	3.8729332e-4	7.089602e-4	Edge prior	7.293358739781063e-4	AeG
4.6965998e-4	3.3155445e-4	6.314222e-4	Edge prior	8.688058157414489e-4	AeG
5.078068e-4	3.652316e-4	6.734973e-4	Edge prior	0.0010379473100553995	AeG
5.6803285e-4	4.1513957e-4	7.445107e-4	Edge prior	0.0012211191099343475	AeG
8.461403e-4	6.56474e-4	0.0010594871	Edge prior	0.0014675632735649147	AeG
0.0011147647	8.9593104e-4	0.0013571214	Edge prior	0.0018049349414174032	AeG
9.963982e-4	7.9077174e-4	0.0012254039	Edge prior	0.0022420704106759512	AeG
0.0013630931	0.0011199141	0.0016297735	Edge prior	0.0028303293767782877	AeG
0.0016436758	0.001375927	0.0019348339	Edge prior	0.0036164395581995785	AeG
0.0019879607	0.0016925638	0.002306717	Edge prior	0.004757889765422921	AeG
0.0033636624	0.0029746217	0.003776181	Edge prior	0.006453445429093275	AeG
0.004579254	0.004125153	0.0050566117	Edge prior	0.008832251858466077	AeG
0.005801373	0.005288199	0.0063378275	Edge prior	0.01251472936589966	AeG
0.0096287215	0.008966761	0.010313688	Edge prior	0.01893132766399075	AeG
0.013660557	0.012869794	0.014474231	Edge prior	0.027824035274582593	AeG
