degree	metaedge_side	metaedge	side	square
7939	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
24	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5015	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9170	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
293	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
36	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3071	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
189	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12138	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11952	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
15	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9381	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1014	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7627	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1560	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
10136	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
15036	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11437	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1511	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2045	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11702	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14853	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
58	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3710	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3957	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1222	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
89	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
78	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
56	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
54	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7184	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11139	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
573	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6741	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
10502	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7762	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6378	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
366	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5788	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5671	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5968	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11580	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11380	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11261	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
351	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
69	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5523	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
108	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
23	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
97	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
105	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2713	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
10	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7632	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4702	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
37	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5980	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
52	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5587	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
160	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
