degree	metaedge_side	metaedge	side	square
7937	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7422	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
55	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
24	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
36	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
124	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
106	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
34	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
17	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
344	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
30	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
36	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7496	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
20	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
103	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
30	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
15	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
26	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
434	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
16	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
94	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4543	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
36	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
10	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
21	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
113	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
66	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4958	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
65	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
56	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
72	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
46	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4942	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7845	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6857	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1605	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7711	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
201	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4197	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
99	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
988	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
25	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
9	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
562	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
306	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
19	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
17	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
31	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
181	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1687	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6745	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11923	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12082	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
13003	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
10	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
71	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
42	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1532	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6178	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5109	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3245	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
136	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
109	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11246	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
698	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4465	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
40	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
20	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
10	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8074	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7853	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
155	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1850	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
16	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
5954	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
16	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
679	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12589	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11574	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
12157	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7337	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2810	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
15	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
11	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
118	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6208	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
22	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
118	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
50	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
53	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
134	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
17	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7840	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
17	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
101	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
14	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
1	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
22	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
8	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
7	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
6725	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
55	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4228	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
3	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
4	"Anatomy→
expresses→
Gene"	AeG	source	FALSE
2125	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
3210	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2436	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
3845	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
4461	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
4939	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
3728	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
4623	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2645	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1037	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2069	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2626	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
3113	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2299	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1180	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2469	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2294	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2642	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2812	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2739	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2869	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1563	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2617	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2846	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2543	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2841	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2545	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2055	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1656	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
3441	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1658	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2872	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1815	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
5092	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2285	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
1858	"Anatomy→
upregulates→
Gene"	AuG	source	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
14	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
1	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
17	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
14	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
17	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
1	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
1	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
1	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
15	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
15	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
1	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
9	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
19	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
12	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
16	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
14	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
15	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
11	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
2	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
13	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
12	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
6	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
12	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
3	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
4	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
10	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
8	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
5	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
7	"Anatomy←
upregulates←
Gene"	AuG	target	FALSE
