network	metaedge	feature	cal	ref	brier	weighted_mae	auroc
unsampled	GpPW	xswap_prior	1.9814746942758936e-4	0.004627287796645122	0.004825435266072712	0.46817691368893016	0.8852803322006704
unsampled	GpMF	xswap_prior	6.803330036639074e-5	0.0024003131517447186	0.0024683464521111096	0.47989510131422175	0.9186087609423844
unsampled	GiG	xswap_prior	1.4379559765617345e-5	0.0011714351907453487	0.0011858147505109662	0.4617651124775691	0.9415351319680725
unsampled	GcG	xswap_prior	9.794231032422046e-6	7.538110842549147e-4	7.636053152873368e-4	0.483539862538002	0.8975080605198433
unsampled	G<rG	xswap_prior	8.9083964451081e-5	0.007275040018801571	0.007364123983252652	0.4518718163027676	0.9335848712114473
unsampled	DuG	xswap_prior	2.4612501641900248e-5	0.02946157362797453	0.029486186129616433	0.4878190661202586	0.7175483394927018
unsampled	DpS	xswap_prior	0.003101094739054967	0.04802897514122933	0.0511300698802843	0.4456494733848068	0.8126840799588709
unsampled	DdG	xswap_prior	1.8603530205091794e-5	0.028589896269938245	0.028608499800143336	0.4892864933925012	0.7110292481531395
unsampled	DaG	xswap_prior	3.075702945253254e-4	0.015242540304010139	0.015550110598535465	0.45201088203203976	0.8692958725656099
unsampled	CuG	xswap_prior	2.0285520319320304e-4	0.007075958986552039	0.007278814189745242	0.4367708082233346	0.9540628762018816
unsampled	CrC	xswap_prior	2.3608694233494477e-4	0.007340440685902344	0.007576527628237288	0.4861652182086412	0.8111997740132666
unsampled	CdG	xswap_prior	2.1637848961058196e-4	0.008240168527425665	0.008456547017036247	0.4198401328480286	0.9544147736707156
unsampled	CcSE	xswap_prior	1.7304903248705543e-4	0.014711830969086641	0.014884880001573697	0.3370379730300408	0.9464282343381585
unsampled	CbG	xswap_prior	1.2126816835263216e-4	0.004340903943834127	0.004462172112186759	0.4520603611133982	0.9161421775706774
unsampled	CCpG	xswap_prior	9.933182366781124e-5	0.004622393620321168	0.00472172544398898	0.4736248642245562	0.9200414227032608
unsampled	BPpG	xswap_prior	2.336864933166688e-5	0.0031243784206705515	0.0031477470700022182	0.473540435133647	0.9293717133420292
unsampled	AuG	xswap_prior	0.006759233688932091	0.12167435241417036	0.12843358610310246	0.4508097772128671	0.7389303377098786
unsampled	AlD	xswap_prior	0.002340262884444806	0.05688334157765084	0.059223604462095646	0.4654038344211555	0.7597210109629897
unsampled	AeG	xswap_prior	0.0022134570994451286	0.03616449971419713	0.038377956813642256	0.18523115781763036	0.9740106252718084
unsampled	AdG	xswap_prior	0.008285745500564214	0.11733042516033851	0.12561617066090272	0.4083471733875569	0.8000333590170271
sampled	GpPW	xswap_prior	7.595708109843329e-5	0.0015440321587156637	0.001619989239814097	0.47800495260230785	0.8700613034901726
sampled	GpMF	xswap_prior	2.4764662090392764e-5	7.867402104737035e-4	8.115048725640963e-4	0.48645904528509115	0.9042065993651999
sampled	GiG	xswap_prior	1.3791844519241577e-5	4.1201814188531063e-4	4.258099864045522e-4	0.4732715961937588	0.9304079631493356
sampled	GcG	xswap_prior	4.5280962383848325e-6	2.6128516481067535e-4	2.658132610490602e-4	0.48781703263803483	0.8921720208871025
sampled	G<rG	xswap_prior	1.4219997620415305e-4	0.002425292398058109	0.002567492374262262	0.46649428201114496	0.9273698120138655
sampled	DuG	xswap_prior	9.579336009513106e-4	0.004645574131230544	0.005603507732181855	0.4910128404038573	0.7002248821258676
sampled	DpS	xswap_prior	0.0021387649425237275	0.01779196593320594	0.019930730875729667	0.4658003199941946	0.7747119504744662
sampled	DdG	xswap_prior	9.080908533658413e-4	0.004312485989188953	0.005220576842554794	0.49317941017248185	0.6671516564272133
sampled	DaG	xswap_prior	5.495567217964207e-4	0.004277566836707841	0.004827123558504262	0.4598874616496502	0.8642029989142963
sampled	CuG	xswap_prior	2.948187164898056e-4	0.0025764998509882854	0.002871318567478091	0.4547030241517099	0.9440535833470874
sampled	CrC	xswap_prior	5.7999405375205915e-5	0.00249030863348115	0.002548308038856356	0.49088909039597717	0.7859503439591939
sampled	CdG	xswap_prior	3.3829545132065073e-4	0.003096343227042448	0.0034346386783630986	0.44327464944573775	0.9447110792696459
sampled	CcSE	xswap_prior	3.6127121355870775e-4	0.0060267890818906855	0.006388060295449393	0.3830814309115607	0.943679804202125
sampled	CbG	xswap_prior	1.2016838599690977e-4	0.001550104415182098	0.0016702728011790077	0.46479850119875254	0.9101334367719264
sampled	CCpG	xswap_prior	6.66050634327574e-5	0.0015243401510416762	0.0015909452144744337	0.48240896940547157	0.9067263180486963
sampled	BPpG	xswap_prior	3.059354715051989e-5	0.001007620136173652	0.001038213683324172	0.48151141217460475	0.9226286805249274
sampled	AuG	xswap_prior	0.007449661800821519	0.05321794510175922	0.06066760690258074	0.47689604694726145	0.6607863265341536
sampled	AlD	xswap_prior	0.002111062877315276	0.020217889963409143	0.02232895284072442	0.480839737709589	0.7019425629438716
sampled	AeG	xswap_prior	0.0023325715805172305	0.019911927229028972	0.022244498809546202	0.2866262797369282	0.9709953219596643
sampled	AdG	xswap_prior	0.00844055252832351	0.056187170386366815	0.06462772291469032	0.44828332814620436	0.7459646445667115
separate	biorxiv	xswap_prior	2.4429158388501912e-5	0.0024232093011394883	0.00244763845952799	0.49331402932870294	0.7529958269066684
separate	ppi	xswap_prior	0.005675852558770081	0.0015461862747236253	0.007222038833493706	0.4998189575310008	0.4954203283221833
separate	tftg	xswap_prior	0.0166538741522785	0.11865047088561405	0.13530434503789254	0.49494030624275537	0.5915008635106356
