id_a	id_b	edge	edge_prior	degree_product	feature	value
492	1681	FALSE	6.777777777777778	49815	Adamic/Adar index	5.579554574864597
3545	2799	FALSE	0.7894736842105263	6208	Adamic/Adar index	0.1581636506785181
2936	3000	FALSE	0.3576923076923077	3016	Adamic/Adar index	0
1049	1535	FALSE	5.4523809523809526	37536	Adamic/Adar index	0.6764737659950176
1876	2896	FALSE	2.8562091503267975	20882	Adamic/Adar index	0.3765440512025616
3137	2124	FALSE	5.454545454545454	39676	Adamic/Adar index	3.2952039054200064
3375	3357	FALSE	1.1785714285714286	9477	Adamic/Adar index	2.1334553412856003
3801	1796	FALSE	0.9901960784313726	9342	Adamic/Adar index	0.3769913046679988
330	1153	FALSE	12.192307692307692	77112	Adamic/Adar index	2.2190711878192064
1013	536	FALSE	1.006993006993007	7298	Adamic/Adar index	0.8806713826603159
3265	2639	FALSE	2.1882352941176473	18662	Adamic/Adar index	1.194706901285772
855	1559	FALSE	21.4	145635	Adamic/Adar index	13.93009527041601
3442	1659	FALSE	1.3095238095238095	11656	Adamic/Adar index	0.782419202412425
1755	400	FALSE	8.73469387755102	60258	Adamic/Adar index	2.5295991927338966
1284	2411	FALSE	0.25	2368	Adamic/Adar index	0.16621906201169442
2854	1141	FALSE	1.1785714285714286	9940	Adamic/Adar index	0.15495167447311847
1332	455	FALSE	2.5589743589743588	19352	Adamic/Adar index	2.1953114279880417
8	984	FALSE	2.9545454545454546	19300	Adamic/Adar index	0.7100797805732819
512	2972	FALSE	4.131578947368421	28815	Adamic/Adar index	1.9386426472374347
2080	3104	FALSE	1.277511961722488	10164	Adamic/Adar index	0.19585011338479313
3227	2664	FALSE	2.537878787878788	16875	Adamic/Adar index	0.3234945821821039
3382	2815	FALSE	0.2261904761904762	1980	Adamic/Adar index	0.26269731101386307
1246	3725	FALSE	12.857142857142858	95256	Adamic/Adar index	9.907583431085861
409	1263	FALSE	6.092105263157895	40460	Adamic/Adar index	1.973265739796164
3338	2591	FALSE	4.369047619047619	31185	Adamic/Adar index	3.5725768841531167
2961	2545	FALSE	0.4341736694677871	3600	Adamic/Adar index	0.17983406825924927
2375	3730	FALSE	5.157894736842105	37750	Adamic/Adar index	2.391237549980808
1805	3477	FALSE	1.6180555555555556	12810	Adamic/Adar index	1.3842147348781357
3900	339	FALSE	6.9523809523809526	54249	Adamic/Adar index	1.9372254116624739
401	1221	FALSE	2.492857142857143	19108	Adamic/Adar index	2.4657902552857953
3265	2618	FALSE	4.816666666666666	35805	Adamic/Adar index	0.3372958020217206
2576	1202	FALSE	1.0909090909090908	8100	Adamic/Adar index	0.40474201968371615
150	4009	FALSE	3.4895833333333335	24808	Adamic/Adar index	1.2322745364848333
2640	2143	FALSE	0.14385964912280702	1036	Adamic/Adar index	0
236	3954	FALSE	6.181818181818182	43349	Adamic/Adar index	2.1907279762256775
430	3769	FALSE	5.8431372549019605	39300	Adamic/Adar index	2.1538895282763337
65	3361	FALSE	0.7619047619047619	6888	Adamic/Adar index	0.178621762940304
562	2117	FALSE	15	91014	Adamic/Adar index	8.047927351626178
1783	2332	FALSE	1.4191919191919191	11300	Adamic/Adar index	0.9425308277930243
3052	1833	FALSE	1.8888888888888888	14762	Adamic/Adar index	2.4120278616448827
1235	2351	FALSE	11.708333333333334	76912	Adamic/Adar index	4.3750158935778805
878	3759	FALSE	1.6016483516483517	14720	Adamic/Adar index	1.1328378677068836
2716	671	FALSE	4.623076923076923	32747	Adamic/Adar index	0.33965916093654736
1900	1132	FALSE	2.0166666666666666	12958	Adamic/Adar index	0
3116	2678	FALSE	12.071428571428571	78396	Adamic/Adar index	4.169470628735841
1251	1226	FALSE	4.411764705882353	31590	Adamic/Adar index	0
2033	3539	FALSE	0.22727272727272727	1944	Adamic/Adar index	0
3642	3985	FALSE	0.2857142857142857	2560	Adamic/Adar index	0
1927	3290	FALSE	2.9393939393939394	19096	Adamic/Adar index	0.32086797104029763
2005	1835	FALSE	4.7272727272727275	33516	Adamic/Adar index	4.3488666032586245
2549	3002	FALSE	1.1294117647058823	9288	Adamic/Adar index	0.31593892991699724
323	2334	FALSE	1.925	14994	Adamic/Adar index	0.866798773933234
2136	3275	FALSE	0.8671328671328671	7315	Adamic/Adar index	0
2552	385	FALSE	4.553571428571429	31886	Adamic/Adar index	4.190333295143748
2874	786	FALSE	14.5	102165	Adamic/Adar index	2.9468062550776457
3107	1236	FALSE	4.388888888888889	34317	Adamic/Adar index	0.8857467697615553
2630	2897	FALSE	6.564102564102564	48994	Adamic/Adar index	3.2554145701077113
2962	1940	FALSE	0.8818181818181818	7412	Adamic/Adar index	0.7758456740156948
2037	1285	FALSE	2.6527777777777777	22005	Adamic/Adar index	0.5239632480841173
939	3791	FALSE	1.7840909090909092	12850	Adamic/Adar index	2.2777971848490206
3136	1673	FALSE	9.625	84770	Adamic/Adar index	13.771669345658875
2118	256	FALSE	2.409090909090909	16440	Adamic/Adar index	0.32587653894751023
2056	3311	FALSE	2.5238095238095237	19257	Adamic/Adar index	2.089751912488993
1602	3176	FALSE	4.880952380952381	32172	Adamic/Adar index	1.00310228703445
1504	1317	FALSE	5.4	34986	Adamic/Adar index	1.017243004391675
2065	1605	FALSE	2.8518518518518516	24531	Adamic/Adar index	0.7769330417857695
