"","feature","bin_number","num_edges","bin_size","bin_mean_feature","bin_std_feature","expected_percent_correct","lower_ci","upper_ci","metaedge"
"1","xswap_prior",1,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"2","xswap_prior",2,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"3","xswap_prior",3,0,336795,0,0,1.48457820164135e-06,1.45796164948745e-09,7.45834071644486e-06,"AdG"
"4","xswap_prior",4,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"5","xswap_prior",5,0,336795,0,0,1.48457820164135e-06,1.45796164948745e-09,7.45834071644486e-06,"AdG"
"6","xswap_prior",6,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"7","xswap_prior",7,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"8","xswap_prior",8,0,336795,0,0,1.48457820164135e-06,1.45796164948745e-09,7.45834071644486e-06,"AdG"
"9","xswap_prior",9,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"10","xswap_prior",10,0,336795,0,0,1.48457820164135e-06,1.45796164948745e-09,7.45834071644486e-06,"AdG"
"11","xswap_prior",11,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"12","xswap_prior",12,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"13","xswap_prior",13,0,336795,0,0,1.48457820164135e-06,1.45796164948745e-09,7.45834071644486e-06,"AdG"
"14","xswap_prior",14,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"15","xswap_prior",15,0,336795,0,0,1.48457820164135e-06,1.45796164948745e-09,7.45834071644486e-06,"AdG"
"16","xswap_prior",16,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
"17","xswap_prior",17,0,336796,0,0,1.48457379370956e-06,1.4579573205745e-09,7.45831857156377e-06,"AdG"
