metaedge	network	xswap_analytic	xswap_degree
AdG	full	0.9999945566270424	0.9999935500515091
AeG	full	0.984483027799799	0.9844672619078676
AlD	full	0.9978760620947114	0.9978690555355003
AuG	full	0.9999974757216855	0.99999716960419
BPpG	full	0.9999245987944086	0.9999259364410961
CCpG	full	0.9999408534983136	0.9999553668129549
CbG	full	0.9999979921400772	0.9999982468869233
CcSE	full	0.9956012821189466	0.9955640601915179
CdG	full	0.9999981925978135	0.9999987026172494
CrC	full	0.9998703590220451	0.9998657402800463
CuG	full	0.9999974629110224	0.9999982627378958
DaG	full	0.9999653847756558	0.9999661572550907
DdG	full	0.9999471995619378	0.999947458094394
DpS	full	0.9979950516211242	0.9979193053290019
DuG	full	0.9999669827367914	0.9999687322655869
G<rG	full	0.9999983435171219	0.9999983000785454
GcG	full	0.9999784972891353	0.9999843575181526
GiG	full	0.9999439349353422	0.9999483292169208
GpMF	full	0.9999097355931089	0.9999309562936303
GpPW	full	0.9999660800645547	0.9999680890979298
AdG	sampled	0.9999977103879029	0.99999702718105
AeG	sampled	0.9981662981166232	0.9981555120354727
AlD	sampled	0.9984429762723245	0.9984751154082903
AuG	sampled	0.9999988624501518	0.999998518262023
BPpG	sampled	0.9999526908669802	0.9999543159660454
CCpG	sampled	0.9999478471659651	0.9999598269222414
CbG	sampled	0.999998983232542	0.9999985806338005
CcSE	sampled	0.9987938111264235	0.9987726701638233
CdG	sampled	0.9999991739949252	0.9999990580186456
CrC	sampled	0.9999346113850202	0.9999185888239529
CuG	sampled	0.9999987488064673	0.9999987854713938
DaG	sampled	0.9999845488560019	0.9999853954477694
DdG	sampled	0.9999836497342769	0.9999837026531998
DpS	sampled	0.9986748053536024	0.9986147243194213
DuG	sampled	0.9999628022856538	0.9999628566373889
G<rG	sampled	0.9999991571800673	0.9999991254666906
GcG	sampled	0.9999723999151487	0.9999871035372473
GiG	sampled	0.9999662274312876	0.9999599723759706
GpMF	sampled	0.9998765631732232	0.9999130690199339
GpPW	sampled	0.9999749569064772	0.9999784415787516
