network,metaedge,feature,cal,ref,brier,auroc
full,AdG,xswap_prior,0.0005348331662431419,0.007573513122525622,0.008108346288768765,0.9893917536483239
full,AdG,analytic_prior,0.0006444262056519986,0.007571256281848917,0.008215682487500915,0.9891555450656258
full,AdG,scaled_degree,0.0015091243044738612,0.007574097378666484,0.009083221683140345,0.989143747258867
full,AeG,xswap_prior,0.0011463458148103156,0.018729565950071452,0.01987591176488177,0.9873503023194369
full,AeG,analytic_prior,0.004591089802311634,0.018719603963244118,0.02331069376555575,0.9868655477905237
full,AeG,scaled_degree,0.019555238055786812,0.01873553372922294,0.03829077178500975,0.986853016872601
full,AlD,xswap_prior,0.0022493277003628946,0.0546730357181707,0.05692236341853359,0.7697108508087156
full,AlD,analytic_prior,0.0026956179868834773,0.05431454810927744,0.057010166096160914,0.768807304083819
full,AlD,scaled_degree,0.002119418814485244,0.0552959515550872,0.05741537036957244,0.768762034920157
full,AuG,xswap_prior,0.00046034354270350827,0.008286738559416796,0.008747082102120305,0.9850801417360627
full,AuG,analytic_prior,0.0004915810840942336,0.008282972086149499,0.008774553170243731,0.9849000163144793
full,AuG,scaled_degree,0.0006194711346119899,0.008287187587881214,0.008906658722493204,0.984888770788426
full,BPpG,xswap_prior,1.6481341002833725e-05,0.0022035482393360797,0.0022200295803389133,0.9502365572190525
full,BPpG,analytic_prior,9.152902983548312e-05,0.0021282957333715563,0.0022198247632070392,0.9501806083721518
full,BPpG,scaled_degree,6.313667019643723e-05,0.0021651650057412887,0.0022283016759377257,0.9501789904483571
full,CCpG,xswap_prior,5.017573049912919e-05,0.0023349211910632345,0.0023850969215623635,0.9597104910688956
full,CCpG,analytic_prior,7.862651467830786e-05,0.0023068029690728213,0.002385429483751129,0.9596711816272311
full,CCpG,scaled_degree,6.54718333883241e-05,0.0023249344583191178,0.002390406291707442,0.9596799581392047
full,CbG,xswap_prior,8.75198620008548e-06,0.00031328527810606005,0.00032203726430614555,0.9939756430869517
full,CbG,analytic_prior,1.3526809877965037e-05,0.00030909600114417945,0.00032262281102214446,0.9939614011569382
full,CbG,scaled_degree,3.148185036738444e-05,0.00031309880614973533,0.0003445806565171198,0.9939619594275564
full,CcSE,xswap_prior,0.00011872881399521781,0.010093874020156343,0.01021260283415156,0.9634958949777
full,CcSE,analytic_prior,0.0015799189675810214,0.008911307666159335,0.010491226633740356,0.9632010928043222
full,CcSE,scaled_degree,0.004360040619483151,0.009476867929266462,0.013836908548749614,0.9631950102067831
full,CdG,xswap_prior,1.4071181049767195e-05,0.0005358615005410612,0.0005499326815908284,0.9970632598974967
full,CdG,analytic_prior,2.787362005785246e-05,0.0005227067162941771,0.0005505803363520296,0.9970049714147257
full,CdG,scaled_degree,3.969889380680954e-05,0.0005285418402911087,0.0005682407340979182,0.997003098736965
full,CrC,xswap_prior,0.00016083730244586893,0.005000770881000532,0.005161608183446401,0.8717032242738686
full,CrC,analytic_prior,0.00016819290663869967,0.004989012861421722,0.005157205768060422,0.8719554731442425
full,CrC,scaled_degree,0.0012193215010558298,0.005025682352314273,0.006245003853370103,0.872470375186206
full,CuG,xswap_prior,1.4244646848289492e-05,0.0004968792216000072,0.0005111238684482967,0.9967989184672753
full,CuG,analytic_prior,2.4685337747359995e-05,0.0004874025313093367,0.0005120878690566967,0.9967338747380274
full,CuG,scaled_degree,2.4787805018792443e-05,0.0004921292826863381,0.0005169170877051306,0.9967323275234318
full,DaG,xswap_prior,7.74458467446093e-05,0.0038380541867072955,0.003915500033451905,0.9675209502008473
full,DaG,analytic_prior,0.0001668898255746297,0.003753526192917266,0.003920416018491896,0.9675265405443233
full,DaG,scaled_degree,0.00023746599545127365,0.0037956093169919866,0.00403307531244326,0.9675207311054485
full,DdG,xswap_prior,1.6388421502949662e-06,0.002518571915612071,0.0025202107577623656,0.9752455926600697
